Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Berlaku Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,18219.06,17370.31,18149.04,21579.55,75317.96,4120.13,4538.85,4290.12,4197.76,17146.85,2706.89,2804.67,2918.93,3032.32,11462.81,66.13,69.24,70.29,70.22,275.88,26.25,27.18,30.22,30.9,114.56,4760.7,5068.39,5537.57,6026.34,21392.99,8795.43,8873.1,9119.71,9673.31,36461.54,3791.42,4319.34,4414.4,4388.58,16913.75,992.34,1013.72,1086.05,1080.56,4172.67,1659.08,1671.42,1718.57,1644.15,6693.22,983.46,1009.69,1053.37,1010.47,4056.99,2096.72,2100.93,2203.73,2170.45,8571.83,352.79,355.34,371.74,356.51,1436.37,5009.82,5801.17,5514.54,5762.65,22088.18,1544.35,1633.01,1643.81,1598.1,6419.27,1607.4,1820.14,1971.68,1901.88,7301.11,790.97,859.76,888.73,836.7,3376.16,57522.94,59336.26,60982.49,65360.45,243202.15
Sumatera Utara,65879.49,69653.38,71620.39,72579.05,279732.3,3173.62,3321.47,3396.09,3417.18,13308.37,50261.66,52244.87,54161.98,53950.17,210618.69,274.61,282.69,286.38,281.52,1125.19,244.99,246.81,254.76,255.06,1001.63,35627.01,36525.13,37659.92,39248.95,149061.01,51911.04,53604.09,55546.08,54647.73,215708.94,13552.09,14222.37,14540.92,15324.83,57640.22,5919.78,6105.06,6477.64,6832.83,25335.31,6287.94,6379.54,6642.11,6815.36,26124.96,7744.94,7983.03,7971.21,7927.25,31626.43,12749.67,12915.43,13329.09,13210.26,52204.45,2933.99,3017.3,3032.14,3026.64,12010.07,8128.74,9593.74,8053.59,8687.64,34463.7,4793.63,4935.04,5037.72,5017.81,19784.2,2485.8,2661.55,2728.44,2792.78,10668.57,1517.89,1625.64,1659.07,1703.12,6505.72,273486.9,285317.15,292397.54,295718.16,1146919.75
Sumatera Barat,17100.19,17500.68,17819.27,18741.85,71161.99,3162.3,3119.73,3257.74,3366.12,12905.89,6790.45,6884.16,7122.93,7075.68,27873.22,72.92,75.49,76.14,76.91,301.45,70.3,72.24,72.93,73.7,289.18,7976.46,8186.98,8557.7,8841.83,33562.98,13355.29,13676.15,13865.25,14080.96,54977.65,8904.7,9579.47,9334.18,9186.32,37004.68,1115.05,1171.92,1156.27,1130.3,4573.55,5472.09,5573.01,5563.17,5582.84,22191.11,2550.67,2570.94,2610.72,2522.05,10254.38,1692.96,1697.85,1772.02,1801.75,6964.58,355.82,346.66,362.46,366.15,1431.09,5514.9,6003.77,5049.28,5457.16,22025.11,3568.27,3641.97,3683.17,3833.33,14726.74,1374.47,1347.13,1454.16,1542.45,5718.21,1683.51,1901.37,1799.88,1799.26,7184.02,80760.35,83349.53,83557.28,85478.69,333145.84
Riau,68982.97,73148.24,79596.68,79898.01,301625.9,52323.98,52437.44,51549.73,49447.28,205758.44,73799.64,75007.3,80248.54,83762.26,312817.74,204.63,215.11,225.26,243.42,888.43,26.51,26.78,27.31,28.22,108.83,25084.83,25236.51,28541.76,27794.11,106657.2,27302.29,29995.7,27091.64,29898.62,114288.25,2039.56,2649.96,2350.43,2462.77,9502.72,1285.26,1352.47,1332.91,1524.75,5495.39,2111.29,2171.77,2268.66,2285.05,8836.77,2482.64,2533.58,2581.33,2326.84,9924.39,2136.88,2158.09,2350.34,2381.75,9027.07,12.81,13.16,11.74,13.78,51.49,3397.91,3983.64,3370.61,3776.76,14528.92,1214.7,1315.86,1430.49,1440.81,5401.86,639.09,659.35,721.32,693.84,2713.6,1248.26,1269.14,1068.83,1268.39,4854.62,264293.25,274174.12,284767.6,289246.64,1112481.62
Jambi,24861.43,27658.56,28293.22,28775.39,109588.6,9919.29,10759.2,11126.36,11699.74,43504.57,7397.22,7834.83,8166.07,8126.69,31524.81,56.42,62.1,62.75,62.07,243.34,95.44,100.02,103.47,102.13,401.06,5438.82,5860.26,6236.42,6414.87,23950.37,10077.8,10663.6,11150.22,11114.72,43006.34,2423.16,2579.54,2658.4,2741.3,10402.4,845.11,883.97,905.49,918.2,3552.76,2786.26,2877.57,2943.95,2895.35,11503.13,1727.09,1740.67,1795.02,1701.99,6964.76,1147.46,1156.29,1179.59,1189.45,4672.8,1184.7,1254.65,1251.57,1253.26,4944.18,2725.92,3324.61,2809.36,3053.15,11913.03,2165.9,2596.2,2580.84,2550.05,9892.99,987,1009.82,1024.73,998.27,4019.81,745.69,766.95,746.21,830.51,3089.36,74584.73,81128.83,83033.64,84427.13,323174.33
Sumatera Selatan,21685.45,23197.24,23868.75,21200.1,89951.53,36756.65,40365.02,44524.19,41687.16,163333.02,29742.41,30179,30447.84,31085.43,121454.68,204.13,219.16,226.58,226.64,876.5,158.32,158.21,159.83,164.6,640.95,17630.9,17734.12,17903.16,18448.97,71717.14,21937.89,22703.75,23331.69,23985.37,91958.7,3875.94,4253.76,4184.33,4265.33,16579.36,3080.38,3357.18,3366.93,3566.4,13370.89,4814.14,4975.43,4983.94,5131.85,19905.37,3511.8,3530.6,3716.96,3404.73,14164.1,4730.1,4821.5,4885.79,5065.12,19502.51,181.12,184.27,187.44,195.11,747.94,3715.99,4590.17,4129.54,4233.8,16669.52,3284.58,3520.1,3537.29,3937.89,14279.86,978.69,1019.33,1026.18,1130.51,4154.71,1131.39,1153.22,1177.14,1193.19,4654.93,157419.88,165962.06,171657.59,168922.19,663961.72
Bengkulu,7172.08,8165.46,7724.71,7956.85,31019.11,1251.08,734.7,1058.71,1326.1,4370.6,1266.89,1371.38,1361.08,1397.04,5396.39,25.46,26.03,25.68,25.98,103.15,43.53,48.96,47.81,48.03,188.34,1195.89,1234.73,1325.7,1326.29,5082.61,3337.25,3651.66,3584.69,3779.76,14353.35,2403.54,2748.27,2244.91,2631.14,10027.86,434.81,475.77,485.61,492.32,1888.52,984.51,1040.35,1037.49,1048.53,4110.88,740.48,736.34,785.57,711.8,2974.19,835.14,832.83,865.87,873.01,3406.85,577.18,592.6,614.31,634.46,2418.55,2256.18,2492.83,2196.67,2202.95,9148.62,1422.94,1564.91,1668.09,1722.02,6377.97,501.73,538.1,552.62,557.49,2149.94,220.46,246.19,249.16,259.16,974.98,24669.15,26501.15,25828.68,26992.95,103991.93
