Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Konstan Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,9795.96,10192.42,10044.59,11593.35,41626.32,2469.6,2566.49,2720.36,2574.27,10330.73,1490.98,1598.39,1614.16,1667.76,6371.28,55.58,60.65,61.47,60.77,238.47,13.95,14.21,14.94,15.33,58.43,3151.03,3196.94,3561.76,4110.71,14020.44,5737.84,5563.42,5689.75,6267.32,23258.34,2339.92,2485.46,2468.96,2426.61,9720.94,526.08,549.09,557.49,587.29,2219.94,1628.95,1634.61,1616.88,1628.66,6509.1,561.2,374.43,372.63,565.81,1874.07,1480.36,1483.26,1621.28,1522.55,6107.45,232.88,224.22,233.97,239.56,930.64,2779.5,3250.29,3126.38,3250.83,12407,972.08,1025.81,974.3,935.6,3907.8,1202.96,1261.01,1326.91,1211.84,5002.72,572.73,606.96,615.97,553.17,2348.83,35011.6,36087.66,36621.8,39211.44,146932.51
Sumatera Utara,37402.12,38201.89,39078.78,38563.92,153246.71,1835.34,1853.35,1899.11,1922.42,7510.21,25113.62,25857.63,26342.45,26002.21,103315.91,204.84,212.09,214.31,213.52,844.76,142.7,143.97,148.46,148.45,583.59,18002.75,18232.94,18946.13,19688.82,74870.64,26651.37,27367.49,28459.38,28648.7,111126.94,6570.43,6827.32,7012.97,7263.09,27673.81,3313.1,3459.29,3572.13,3710.05,14054.57,4855.15,4976.04,5100.44,5235.1,20166.73,4304.85,4331.15,4493.91,4413.41,17543.31,6405.31,6469.36,6378.14,6341.15,25593.95,1355.16,1382.4,1351.02,1378.31,5466.88,4343.04,5110.45,4358.7,4575.77,18387.96,3090.13,3247.95,3271.66,3293.58,12903.31,1348.42,1416.24,1444.28,1471.87,5680.82,772.84,811.95,834.77,846.28,3265.84,145711.18,149901.51,152906.63,153716.63,602235.95
Sumatera Barat,10161.11,10235.95,10287.29,10928.48,41612.83,1760.08,1769.23,1904.24,1932.26,7365.81,4282.27,4220.79,4535.31,4402.01,17440.38,46.53,46.7,47.4,47.9,188.53,45.61,48.4,46.89,47.45,188.35,4240.92,4252.15,4406.33,4680.98,17580.38,7821.73,7890.47,8162.03,8113.27,31987.5,4899.88,5115.28,5023.33,5089.91,20128.4,537.97,554.86,544.9,556.9,2194.62,4173.6,4273.84,4334.82,4335.36,17117.63,1410.94,1397.42,1415.12,1412.03,5635.5,949.46,949.56,995.66,1008.32,3903.01,209.14,209.21,217.48,218.85,854.69,2510.96,2800.26,2335,2516.19,10162.41,1955,1987.85,1953.26,1992.78,7888.88,778.59,771.32,822.11,840.54,3212.56,876.99,982.89,865.45,882.52,3607.85,46660.79,47506.18,47896.62,49005.75,191069.34
Riau,35856.85,36289.58,39622.51,37592.17,149361.11,20675.95,19975.69,20116.51,19962.07,80730.22,43649.78,43006.93,44852.16,44781.18,176290.05,101.66,108.87,118.24,118.42,447.2,18.9,18.96,19.86,19.76,77.47,11464.88,11528.98,12852.09,12910.84,48756.79,13110.66,14786.74,13099.43,14639.45,55636.27,927.43,1159.08,1077.97,1135.54,4300.02,599.85,611.77,592.18,695.1,2498.89,1553.67,1624.96,1675.27,1707.78,6561.68,1378.79,1340.58,1359.32,1413.18,5491.87,1233.48,1270.88,1382.87,1420.18,5307.41,6.9,7,6.29,7.38,27.58,2075.83,2554.42,2170.23,2554.24,9354.72,644.37,714.54,753.06,769.51,2881.48,347.03,349.89,381.26,367.79,1445.97,678.91,687.35,581.59,711.89,2659.74,134324.94,136036.22,140660.85,140806.47,551828.49
Jambi,10870.27,11554.75,11855.46,11417.89,45698.37,9866.84,9533.78,10069.37,9047.97,38517.96,3941.52,4151.61,4418.86,4380.89,16892.88,24.94,27.33,28.07,28.47,108.81,54.16,55.78,56.4,53.91,220.25,3022.58,3086.75,3312.52,3448.63,12870.48,4012.23,4284.81,4345.95,4610.09,17253.08,1305.54,1351.48,1426.81,1536.62,5620.46,474.61,489.71,513.1,529.91,2007.34,1745.2,1829.2,1831.1,1898.44,7303.95,924.65,937.82,929.07,900.82,3692.37,608,608.36,614.82,625.38,2456.56,455.32,537.77,534.81,544.05,2071.95,1005.38,1468.94,1137.31,1434.17,5045.81,1206.06,1443.43,1328.57,1479.05,5457.12,496.09,558.31,594.72,612.25,2261.37,409.38,462.91,447.21,460.78,1780.29,40422.79,42382.75,43444.17,43009.34,169259.04
Sumatera Selatan,14424.97,14920.1,15354.86,13454.53,58154.46,18800.38,20986.27,22130.66,20771.18,82688.48,16139.92,16321.48,16531.6,16768.47,65761.47,103.69,110.02,113.5,114.97,442.18,90.77,90.57,91.14,93.55,366.02,9398.43,9397.3,9618.15,10041.82,38455.69,10014.79,10190.3,10518.22,10690.37,41413.67,1730.08,1811.47,1790.29,1835.09,7166.94,1372.04,1481.93,1485.74,1572.35,5912.06,3694.6,3687.58,3682.42,3827.87,14892.48,1963.23,1997.35,2052.2,2087.57,8100.35,2924.96,2928.76,2955.7,3050.88,11860.29,92.89,93,94.82,97.56,378.28,2455.87,3017.26,2752.34,2811.52,11036.99,2123.33,2246.7,2238.84,2394.21,9003.08,613.9,613.47,634.26,637.56,2499.19,690.24,688.65,703.96,752.94,2835.79,86634.09,90582.22,92748.71,91002.43,360967.45
Bengkulu,3472.88,3535.6,3469.43,3503.78,13981.68,403.52,402.89,418.54,498.33,1723.28,668.54,742.1,764.46,740.6,2915.71,14.22,15.06,15.22,15.17,59.67,27.71,29.04,27.7,27.73,112.18,569.54,577.72,603.25,617.89,2368.4,1921.68,2055.74,2032.49,2109.62,8119.54,1092.15,1224.08,1033.26,1198.71,4548.19,227.6,246.07,248.27,250.21,972.15,686.95,721.71,711.21,719.97,2839.84,392.51,389.54,395.65,383.6,1561.32,557.53,558.15,570.49,575,2261.17,299.5,301.09,305.27,313.44,1219.3,1029.74,1259.89,1115.16,1156.86,4561.64,727.33,841.29,860.6,858.8,3288.02,248.22,265.29,269.45,271.2,1054.15,106.62,118.28,118.12,122.33,465.35,12446.24,13283.54,12958.58,13363.24,52051.6
