,"Tabel Input-Output Indonesia Transaksi Domestik Atas Dasar Harga Dasar (17 Produk), 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Juta Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kode,Produk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1800,3011,3012,3020,3030,3040,3050,3060,3090,3100,4011,4012,4013,4019,5011,5012,5013,5019,6090,7000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Pertanian, Kehutanan, dan Perikanan",Pertambangan dan Penggalian,Industri Pengolahan,Pengadaan Listrik dan Gas,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Konstruksi,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Transportasi dan Pergudangan,Penyediaan Akomodasi dan Makan Minum,Informasi dan Komunikasi,Jasa Keuangan dan Asuransi,Real Estate,Jasa Perusahaan,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Jasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial,Jasa lainnya,Total Permintaan Antara,Konsumsi Rumah Tangga,Konsumsi LNPRT,Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Ekspor Barang (F.o.b),Ekspor Jasa,Total Permintaan Akhir,Total Permintaan,Impor Barang (c.i.f),Impor Jasa,Adjustment (i.f),Total Impor,Marjin Perdagangan Besar,Marjin Perdagangan Eceran,Biaya Pengangkutan,Total Marjin Perdagangan dan Biaya Pengangkutan,Total Pajak dikurang Subsidi atas Produk,Output Domestik Harga Dasar,Total Penyediaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pertanian, Kehutanan, dan Perikanan"," 177,950,421 "," 1,924 "," 1,187,578,694 "," 11,265 "," 13,131 "," 79,973,220 "," 2,254,959 "," 3,671,730 "," 140,106,931 "," 88,151 "," 3,577 ", 895 ," 122,662 "," 2,148,319 "," 1,006,884 "," 14,967,609 "," 7,365,526 "," 1,617,265,898 "," 680,859,607 ", - , - ," 218,633,618 "," 11,338,690 "," 55,664,465 ", - ," 966,496,380 "," 2,583,762,278 ", - , - , - , - , - , - , - , - , - ," 2,583,762,278 "," 2,583,762,278 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Pertambangan dan Penggalian," 98,285 "," 137,956,001 "," 522,219,053 "," 191,592,139 "," 192,564 "," 234,035,063 "," 34,027 "," 2,554,579 ", 452 , - , - , - ," 5,960 "," 2,773,179 ", 325 ," 66,778 ", - ," 1,091,528,405 "," 392,584 ", - , - ," 16,080,119 "," 23,309,241 "," 408,926,459 ", - ," 448,708,403 "," 1,540,236,808 ", - , - , - , - , - , - , - , - , - ," 1,540,236,808 "," 1,540,236,808 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Industri Pengolahan," 175,489,943 "," 77,311,324 "," 1,397,416,585 "," 7,701,177 "," 7,278,357 "," 574,510,571 "," 178,347,898 "," 293,302,535 "," 358,223,263 "," 25,523,979 "," 20,872,617 "," 14,185,491 "," 58,358,726 "," 48,403,306 "," 53,594,964 "," 171,536,683 "," 53,738,214 "," 3,515,795,633 "," 2,269,453,517 ", - ," 3,943,654 "," 623,676,326 ","-35,755,640 "," 1,752,936,746 "," 5,358,222 "," 4,619,612,825 "," 8,135,408,458 ", - , - , - , - , - , - , - , - , - ," 8,135,408,458 "," 8,135,408,458 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Pengadaan Listrik dan Gas," 2,199,738 "," 8,547,245 "," 61,714,049 "," 338,566,608 "," 2,015,610 "," 15,829,641 "," 22,355,839 "," 24,903,968 "," 2,009,141 "," 33,057,379 "," 2,579,980 "," 3,873,626 "," 4,104,711 "," 14,373,875 "," 7,510,524 "," 14,657,663 "," 14,004,352 "," 572,303,949 "," 185,866,392 ", - , - , - ," 202,671 ", - , - ," 186,069,063 "," 758,373,012 ", - , - , - , - , - , - , - , - , - ," 758,373,012 "," 758,373,012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"," 219,187 "," 771,858 "," 3,357,954 "," 453,724 "," 2,001,180 "," 455,910 "," 692,494 "," 1,269,415 "," 56,963 "," 353,539 "," 67,216 "," 47,788 "," 1,081,984 "," 2,063,135 "," 466,343 "," 2,849,812 "," 2,245,469 "," 18,453,971 "," 48,194,142 ", - ," 2,703,691 ", - , - ," 717,257 ", - ," 51,615,090 "," 70,069,061 ", - , - , - , - , - , - , - , - , - ," 70,069,061 "," 70,069,061 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
