province,sector_code,sector_name,basis,year,pdrb_sector
Aceh,A,"Pertanian, Kehutanan, dan Perikanan",ADHB,2020,51548.0
Aceh,A,"Pertanian, Kehutanan, dan Perikanan",ADHB,2021,55611.0
Aceh,A,"Pertanian, Kehutanan, dan Perikanan",ADHB,2022,62299.0
Aceh,A,"Pertanian, Kehutanan, dan Perikanan",ADHB,2023,69757.0
Aceh,A,"Pertanian, Kehutanan, dan Perikanan",ADHB,2024,75318.0
Aceh,B,Pertambangan dan Penggalian,ADHB,2020,7410.0
Aceh,B,Pertambangan dan Penggalian,ADHB,2021,12305.0
Aceh,B,Pertambangan dan Penggalian,ADHB,2022,19124.0
Aceh,B,Pertambangan dan Penggalian,ADHB,2023,16950.0
Aceh,B,Pertambangan dan Penggalian,ADHB,2024,17147.0
Aceh,C,Industri Pengolahan,ADHB,2020,7593.0
Aceh,C,Industri Pengolahan,ADHB,2021,9314.0
Aceh,C,Industri Pengolahan,ADHB,2022,10875.0
Aceh,C,Industri Pengolahan,ADHB,2023,10982.0
Aceh,C,Industri Pengolahan,ADHB,2024,11463.0
Aceh,D,Pengadaan Listrik dan Gas,ADHB,2020,227.0
Aceh,D,Pengadaan Listrik dan Gas,ADHB,2021,228.0
Aceh,D,Pengadaan Listrik dan Gas,ADHB,2022,238.0
Aceh,D,Pengadaan Listrik dan Gas,ADHB,2023,261.0
Aceh,D,Pengadaan Listrik dan Gas,ADHB,2024,276.0
Aceh,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",ADHB,2020,82.0
Aceh,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",ADHB,2021,85.0
Aceh,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",ADHB,2022,94.0
Aceh,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",ADHB,2023,100.0
Aceh,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",ADHB,2024,115.0
Aceh,F,Konstruksi,ADHB,2020,17757.0
