industry_name,labour_comp,surplus_usaha,other_taxes_prod,gva_basic,net_taxes_product,intermediate_dom,intermediate_imp,total_output,gdp_market,tax_ratio,gva_share_of_gdp,gva_share_pct
"Pertanian, Kehutanan, dan Perikanan",758855037.0,1282990498.0,9009517.0,2050855052.0,-26795579.0,498469309.0,61233496.0,2583762278.0,2024059473.0,-0.013238533431176506,1.0132385334311764,13.627648379405693
Pertambangan dan Penggalian,224600593.0,749888356.0,5354698.0,979843647.0,4767425.0,481593856.0,74031880.0,1540236808.0,984611072.0,0.004841937223310038,0.99515806277669,6.51092561372812
Industri Pengolahan,975126797.0,2136615725.0,30050794.0,3141793316.0,56196711.0,4084044763.0,853373668.0,8135408458.0,3197990027.0,0.017572509771932445,0.9824274902280675,20.876782369120374
Pengadaan Listrik dan Gas,33575863.0,126444722.0,354163.0,160374748.0,1136121.0,576877687.0,19984456.0,758373012.0,161510869.0,0.00703433154086986,0.9929656684591301,1.0656680356558894
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",9973317.0,33610772.0,92686.0,43676775.0,235787.0,21494153.0,4662346.0,70069061.0,43912562.0,0.005369465803430007,0.99463053419657,0.29022613346855736
Konstruksi,636074956.0,697695466.0,5062818.0,1338833240.0,29969734.0,1719357268.0,354691642.0,3442851884.0,1368802974.0,0.02189484868842782,0.9781051513115722,8.896361844581728
Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,892738381.0,1155345729.0,8298909.0,2056383019.0,6703627.0,784043092.0,84371343.0,2931501081.0,2063086646.0,0.003249319175710471,0.9967506808242895,13.664380956120706
Transportasi dan Pergudangan,254462249.0,458037560.0,4919431.0,717419240.0,10915741.0,709194609.0,94651336.0,1532180926.0,728334981.0,0.014987253509384853,0.9850127464906151,4.767151697925294
Penyediaan Akomodasi dan Makan Minum,257623629.0,260270549.0,3363048.0,521257226.0,5833560.0,615064907.0,45409264.0,1187564957.0,527090786.0,0.011067467227552712,0.9889325327724473,3.4636822257258224
Informasi dan Komunikasi,198674839.0,492909612.0,4243380.0,695827831.0,1705006.0,383437821.0,41601877.0,1122572535.0,697532837.0,0.002444337971719029,0.9975556620282809,4.623679769189524
Jasa Keuangan dan Asuransi,256994548.0,454349822.0,1886301.0,713230671.0,707470.0,196912328.0,19149701.0,930000170.0,713938141.0,0.0009909401940748814,0.9990090598059251,4.73931923580701
Real Estate,67220608.0,644498922.0,21395635.0,733115165.0,865534.0,213570838.0,16691787.0,964243324.0,733980699.0,0.001179232643554841,0.9988207673564452,4.871448950274224
Jasa Perusahaan,185704604.0,266553452.0,2314499.0,454572555.0,1776554.0,332241318.0,40556210.0,829146637.0,456349109.0,0.0038929713348032414,0.9961070286651967,3.0205718031739557
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",334181165.0,55343019.0,0.0,389524184.0,2250985.0,334978297.0,27919990.0,754673456.0,391775169.0,0.005745604055881347,0.9942543959441187,2.588334367975083
Jasa Pendidikan,425518415.0,109678356.0,634914.0,535831685.0,1168905.0,201063132.0,25375324.0,763439046.0,537000590.0,0.0021767294520104717,0.9978232705479896,3.560527491498445
Jasa Kesehatan dan Kegiatan Sosial,153303472.0,108207669.0,222233.0,261733374.0,2676257.0,373903613.0,46973899.0,685287143.0,264409631.0,0.010121632067176856,0.9898783679328231,1.7391820970229566
Jasa lainnya,146174051.0,107854495.0,921682.0,254950228.0,1969297.0,193717699.0,18302526.0,468939750.0,256919525.0,0.007665034411067045,0.992334965588933,1.6941090293266188
