price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHK,Aceh,2020,Q1,2020Q1,A,"Pertanian, Kehutanan dan Perikanan",9639.52
ADHK,Aceh,2020,Q1,2020Q1,B,Pertambangan dan Penggalian,2327.93
ADHK,Aceh,2020,Q1,2020Q1,C,Industri Pengolahan,1384.97
ADHK,Aceh,2020,Q1,2020Q1,D,Pengadaan Listrik dan Gas,53.69
ADHK,Aceh,2020,Q1,2020Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",11.93
ADHK,Aceh,2020,Q1,2020Q1,F,Konstruksi,3349.61
ADHK,Aceh,2020,Q1,2020Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",4739.99
ADHK,Aceh,2020,Q1,2020Q1,H,Transportasi dan Pergudangan,2316.68
ADHK,Aceh,2020,Q1,2020Q1,I,Penyediaan Akomodasi dan Makan Minum,410.76
ADHK,Aceh,2020,Q1,2020Q1,J,Informasi dan Komunikasi,1281.18
ADHK,Aceh,2020,Q1,2020Q1,K,Jasa Keuangan dan Asuransi,616.0
ADHK,Aceh,2020,Q1,2020Q1,L,Real Estate,1407.59
ADHK,Aceh,2020,Q1,2020Q1,MN,Jasa Perusahaan,211.6
ADHK,Aceh,2020,Q1,2020Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2665.13
ADHK,Aceh,2020,Q1,2020Q1,P,Jasa Pendidikan,837.55
ADHK,Aceh,2020,Q1,2020Q1,PDRB,Produk Domestik Regional Bruto,32706.25
ADHK,Aceh,2020,Q1,2020Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,973.94
ADHK,Aceh,2020,Q1,2020Q1,RSTU,Jasa Lainnya,478.19
ADHK,Aceh,2020,Q2,2020Q2,A,"Pertanian, Kehutanan dan Perikanan",9229.92
ADHK,Aceh,2020,Q2,2020Q2,B,Pertambangan dan Penggalian,2976.08
ADHK,Aceh,2020,Q2,2020Q2,C,Industri Pengolahan,1609.28
ADHK,Aceh,2020,Q2,2020Q2,D,Pengadaan Listrik dan Gas,56.29
ADHK,Aceh,2020,Q2,2020Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",12.81
ADHK,Aceh,2020,Q2,2020Q2,F,Konstruksi,3296.18
ADHK,Aceh,2020,Q2,2020Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",4778.02
ADHK,Aceh,2020,Q2,2020Q2,H,Transportasi dan Pergudangan,1180.04
ADHK,Aceh,2020,Q2,2020Q2,I,Penyediaan Akomodasi dan Makan Minum,388.63
ADHK,Aceh,2020,Q2,2020Q2,J,Informasi dan Komunikasi,1354.27
ADHK,Aceh,2020,Q2,2020Q2,K,Jasa Keuangan dan Asuransi,595.72
ADHK,Aceh,2020,Q2,2020Q2,L,Real Estate,1348.75
ADHK,Aceh,2020,Q2,2020Q2,MN,Jasa Perusahaan,202.52
ADHK,Aceh,2020,Q2,2020Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2935.21
ADHK,Aceh,2020,Q2,2020Q2,P,Jasa Pendidikan,907.23
ADHK,Aceh,2020,Q2,2020Q2,PDRB,Produk Domestik Regional Bruto,32272.15
ADHK,Aceh,2020,Q2,2020Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,952.63
