provinsi,year,sector_code,sector_name,sector_short,market_sector,govt_proximate,gva_sector,gva_yoy,price_basis,gva_pct_gdp
Aceh,2020,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,True,False,52230.29833268627,,ADHB,31.39362264869917
Aceh,2020,B,Pertambangan dan Penggalian,Pertambangan,True,False,7374.3103252072,,ADHB,4.432414193182615
Aceh,2020,C,Industri Pengolahan,Industri Pengolahan,True,False,7459.562109026815,,ADHB,4.48365576018103
Aceh,2020,D,Pengadaan Listrik dan Gas,Listrik & Gas,True,False,225.8699006043983,,ADHB,0.13576170639707272
Aceh,2020,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Air & Sampah,True,False,81.81830774300985,,ADHB,0.049177836639538265
Aceh,2020,F,Konstruksi,Konstruksi,True,False,17368.5946328486,,ADHB,10.439593937770777
Aceh,2020,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Perdagangan,True,False,24523.475635605944,,ADHB,14.740117608269179
Aceh,2020,H,Transportasi dan Pergudangan,Transportasi,True,False,7534.293547014461,,ADHB,4.528573952093991
Aceh,2020,I,Penyediaan Akomodasi dan Makan Minum,Akomodasi,True,False,2617.3286198862143,,ADHB,1.5731755257642703
Aceh,2020,J,Informasi dan Komunikasi,Infokom,True,False,5177.164252577473,,ADHB,3.11179422909861
Aceh,2020,K,Jasa Keuangan dan Asuransi,Keuangan,True,False,3507.1511756264754,,ADHB,2.1080136260806337
Aceh,2020,L,Real Estate,Real Estate,True,False,7156.86043254681,,ADHB,4.3017134295818025
Aceh,2020,MN,Jasa Perusahaan,Jasa Perusahaan,True,False,1054.1402241552312,,ADHB,0.6336031283059773
Aceh,2020,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Adm. Pemerintahan,False,True,16978.04714584512,,ADHB,10.204850870532502
Aceh,2020,P,Jasa Pendidikan,Pendidikan,False,True,5232.824708338589,,ADHB,3.1452495873944586
Aceh,2020,Q,Jasa Kesehatan dan Kegiatan Sosial,Kesehatan,False,True,5084.322159997039,,ADHB,3.0559904195583973
Aceh,2020,RSTU,Jasa Lainnya,Jasa Lainnya,False,True,2455.493178951191,,ADHB,1.4759024692035256
Aceh,2021,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,True,False,56347.53231897185,,ADHB,30.461438465076228
Aceh,2021,B,Pertambangan dan Penggalian,Pertambangan,True,False,12245.748364627885,,ADHB,6.6200434147907785
Aceh,2021,C,Industri Pengolahan,Industri Pengolahan,True,False,9150.506480932463,,ADHB,4.946757712748253
Aceh,2021,D,Pengadaan Listrik dan Gas,Listrik & Gas,True,False,226.18764961830522,,ADHB,0.1222768928265632
Aceh,2021,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Air & Sampah,True,False,84.93150131504511,,ADHB,0.045913913078030485
Aceh,2021,F,Konstruksi,Konstruksi,True,False,17906.757868151737,,ADHB,9.680381384262839
Aceh,2021,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Perdagangan,True,False,26374.641000032814,,ADHB,14.258113368887908
Aceh,2021,H,Transportasi dan Pergudangan,Transportasi,True,False,9348.765827069894,,ADHB,5.053936583302948
Aceh,2021,I,Penyediaan Akomodasi dan Makan Minum,Akomodasi,True,False,2501.7718534317537,,ADHB,1.3524561987129378
Aceh,2021,J,Informasi dan Komunikasi,Infokom,True,False,5552.903568237046,,ADHB,3.0018959728144736
Aceh,2021,K,Jasa Keuangan dan Asuransi,Keuangan,True,False,3524.0144485559995,,ADHB,1.9050798652026368
Aceh,2021,L,Real Estate,Real Estate,True,False,7516.885378140441,,ADHB,4.063623231964709
Aceh,2021,MN,Jasa Perusahaan,Jasa Perusahaan,True,False,1095.4886269151234,,ADHB,0.5922204225211538
Aceh,2021,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Adm. Pemerintahan,False,True,18939.641471235154,,ADHB,10.2387575725723
Aceh,2021,P,Jasa Pendidikan,Pendidikan,False,True,5495.890835385861,,ADHB,2.9710749273844597
