provinsi,year,quarter,period,sector_code,sector_name,sector_short,gva_sector,gva_yoy,price_basis
Aceh,2020,Q1,2020Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9767.133107780493,,ADHK
Aceh,2020,Q2,2020Q2,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9352.110604487085,,ADHK
Aceh,2020,Q3,2020Q3,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9908.52041273548,,ADHK
Aceh,2020,Q4,2020Q4,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9373.489937542483,,ADHK
Aceh,2021,Q1,2021Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9292.755091198685,-4.8568808405397785,ADHK
Aceh,2021,Q2,2021Q2,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9597.66896306413,2.625699897723921,ADHK
Aceh,2021,Q3,2021Q3,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9637.681752749328,-2.7333915529713315,ADHK
Aceh,2021,Q4,2021Q4,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9739.95805031387,3.909622938875912,ADHK
Aceh,2022,Q1,2022Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9475.411601620324,1.965579729897704,ADHK
Aceh,2022,Q2,2022Q2,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9773.790084945136,1.8350405974491668,ADHK
Aceh,2022,Q3,2022Q3,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9435.571062485811,-2.0970882360362264,ADHK
Aceh,2022,Q4,2022Q4,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10836.67730651444,11.259999791941922,ADHK
Aceh,2023,Q1,2023Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9925.644143950467,4.751588229192616,ADHK
Aceh,2023,Q2,2023Q2,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10327.352692914592,5.663745621282823,ADHK
Aceh,2023,Q3,2023Q3,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10177.565640517461,7.863801492436329,ADHK
Aceh,2023,Q4,2023Q4,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,11746.82895155433,8.398807303164357,ADHK
Aceh,2024,Q1,2024Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10624.413966145943,7.040045079808399,ADHK
Aceh,2024,Q2,2024Q2,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,9960.985903996547,-3.547538268634931,ADHK
Aceh,2024,Q3,2024Q3,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10200.647214309023,0.226788748968354,ADHK
Aceh,2024,Q4,2024Q4,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,11892.958212845773,1.243989010941604,ADHK
Aceh,2025,Q1,2025Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10720.833744987254,0.9075303273060165,ADHK
Aceh,2025,Q2,2025Q2,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10651.639685539238,6.933588584495309,ADHK
Aceh,2025,Q3,2025Q3,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10849.352920567666,6.359456342619785,ADHK
Aceh,2025,Q4,2025Q4,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,11993.461342976812,0.8450641827908223,ADHK
Aceh,2026,Q1,2026Q1,A,"Pertanian, Kehutanan dan Perikanan",Pertanian,10758.465424118887,0.3510144828915873,ADHK
Aceh,2020,Q1,2020Q1,B,Pertambangan dan Penggalian,Pertambangan,2316.65830907974,,ADHK
Aceh,2020,Q2,2020Q2,B,Pertambangan dan Penggalian,Pertambangan,2961.6700074684513,,ADHK
Aceh,2020,Q3,2020Q3,B,Pertambangan dan Penggalian,Pertambangan,2715.1992100605485,,ADHK
Aceh,2020,Q4,2020Q4,B,Pertambangan dan Penggalian,Pertambangan,2441.0331637655704,,ADHK
Aceh,2021,Q1,2021Q1,B,Pertambangan dan Penggalian,Pertambangan,2483.6458320136685,7.208120519087768,ADHK
Aceh,2021,Q2,2021Q2,B,Pertambangan dan Penggalian,Pertambangan,2146.91419831192,-27.51001317168893,ADHK
Aceh,2021,Q3,2021Q3,B,Pertambangan dan Penggalian,Pertambangan,2969.4919498418762,9.365527908195626,ADHK
Aceh,2021,Q4,2021Q4,B,Pertambangan dan Penggalian,Pertambangan,2757.30434769663,12.956447647895764,ADHK
Aceh,2022,Q1,2022Q1,B,Pertambangan dan Penggalian,Pertambangan,2620.4999688067187,5.510211441141455,ADHK
Aceh,2022,Q2,2022Q2,B,Pertambangan dan Penggalian,Pertambangan,2696.5499479641135,25.601197760225467,ADHK
Aceh,2022,Q3,2022Q3,B,Pertambangan dan Penggalian,Pertambangan,2757.48347614793,-7.139553744378246,ADHK
Aceh,2022,Q4,2022Q4,B,Pertambangan dan Penggalian,Pertambangan,2728.126313296018,-1.0582086966564486,ADHK
Aceh,2023,Q1,2023Q1,B,Pertambangan dan Penggalian,Pertambangan,2457.6423518333136,-6.214753631444026,ADHK
Aceh,2023,Q2,2023Q2,B,Pertambangan dan Penggalian,Pertambangan,2554.063216535747,-5.284038277723857,ADHK
Aceh,2023,Q3,2023Q3,B,Pertambangan dan Penggalian,Pertambangan,2707.1881876551965,-1.823956115341574,ADHK
Aceh,2023,Q4,2023Q4,B,Pertambangan dan Penggalian,Pertambangan,2561.8055462641496,-6.096520026263963,ADHK
Aceh,2024,Q1,2024Q1,B,Pertambangan dan Penggalian,Pertambangan,2602.5274141929717,5.895286686102996,ADHK
Aceh,2024,Q2,2024Q2,B,Pertambangan dan Penggalian,Pertambangan,2994.3211435081544,17.237550117085966,ADHK
Aceh,2024,Q3,2024Q3,B,Pertambangan dan Penggalian,Pertambangan,2892.815021104932,6.856813068858503,ADHK
Aceh,2024,Q4,2024Q4,B,Pertambangan dan Penggalian,Pertambangan,2937.985245574366,14.684162888896669,ADHK
Aceh,2025,Q1,2025Q1,B,Pertambangan dan Penggalian,Pertambangan,3097.5190346180975,19.019650579881397,ADHK
Aceh,2025,Q2,2025Q2,B,Pertambangan dan Penggalian,Pertambangan,3027.9574860300067,1.1233378421943163,ADHK
Aceh,2025,Q3,2025Q3,B,Pertambangan dan Penggalian,Pertambangan,3002.461536461668,3.7903051027042833,ADHK
Aceh,2025,Q4,2025Q4,B,Pertambangan dan Penggalian,Pertambangan,2415.308327842793,-17.79031799151842,ADHK
Aceh,2026,Q1,2026Q1,B,Pertambangan dan Penggalian,Pertambangan,2817.3322820433204,-9.045521575279746,ADHK
Aceh,2020,Q1,2020Q1,C,Industri Pengolahan,Industri Pengolahan,1360.6326011411668,,ADHK
Aceh,2020,Q2,2020Q2,C,Industri Pengolahan,Industri Pengolahan,1581.0009114742247,,ADHK
Aceh,2020,Q3,2020Q3,C,Industri Pengolahan,Industri Pengolahan,1594.3619253413265,,ADHK
Aceh,2020,Q4,2020Q4,C,Industri Pengolahan,Industri Pengolahan,1416.1888757135641,,ADHK
Aceh,2021,Q1,2021Q1,C,Industri Pengolahan,Industri Pengolahan,1501.7386615626242,10.370621746319419,ADHK
Aceh,2021,Q2,2021Q2,C,Industri Pengolahan,Industri Pengolahan,1587.6322970332642,0.41944223503678213,ADHK
Aceh,2021,Q3,2021Q3,C,Industri Pengolahan,Industri Pengolahan,1616.3388282977282,1.3784136843143058,ADHK
Aceh,2021,Q4,2021Q4,C,Industri Pengolahan,Industri Pengolahan,1397.2182008772602,-1.3395582440756892,ADHK
Aceh,2022,Q1,2022Q1,C,Industri Pengolahan,Industri Pengolahan,1403.0832929939218,-6.5694099175716225,ADHK
Aceh,2022,Q2,2022Q2,C,Industri Pengolahan,Industri Pengolahan,1651.1658828263132,4.001782145133448,ADHK
Aceh,2022,Q3,2022Q3,C,Industri Pengolahan,Industri Pengolahan,1632.9320286076804,1.0265917033885463,ADHK
Aceh,2022,Q4,2022Q4,C,Industri Pengolahan,Industri Pengolahan,1671.4530104995229,19.627199921249307,ADHK
Aceh,2023,Q1,2023Q1,C,Industri Pengolahan,Industri Pengolahan,1464.7797393802443,4.397204834124535,ADHK
Aceh,2023,Q2,2023Q2,C,Industri Pengolahan,Industri Pengolahan,1570.302276105641,-4.897364193490805,ADHK
Aceh,2023,Q3,2023Q3,C,Industri Pengolahan,Industri Pengolahan,1585.7951576265377,-2.88664011455112,ADHK
Aceh,2023,Q4,2023Q4,C,Industri Pengolahan,Industri Pengolahan,1638.453271102762,-1.97431451494402,ADHK
Aceh,2024,Q1,2024Q1,C,Industri Pengolahan,Industri Pengolahan,1533.4022995726748,4.684838160136273,ADHK
Aceh,2024,Q2,2024Q2,C,Industri Pengolahan,Industri Pengolahan,1593.9198329707237,1.5040134134973293,ADHK
Aceh,2024,Q3,2024Q3,C,Industri Pengolahan,Industri Pengolahan,1632.1460866154978,2.9228824899638184,ADHK
Aceh,2024,Q4,2024Q4,C,Industri Pengolahan,Industri Pengolahan,1684.4603504701424,2.807957979565412,ADHK
Aceh,2025,Q1,2025Q1,C,Industri Pengolahan,Industri Pengolahan,1617.5373898358066,5.486824317830896,ADHK
Aceh,2025,Q2,2025Q2,C,Industri Pengolahan,Industri Pengolahan,1697.5168118152735,6.499509994267849,ADHK
Aceh,2025,Q3,2025Q3,C,Industri Pengolahan,Industri Pengolahan,1724.9265387926366,5.684567878941094,ADHK
Aceh,2025,Q4,2025Q4,C,Industri Pengolahan,Industri Pengolahan,1702.5075434656321,1.0713931610472516,ADHK
